id,object_id,school,type_of_school,region,province,legislative,division,municipality,district,barangay,total_enrollees,total_instructors,color_code,gps_source,count,school_type,color_zone,annual_per_capita_poverty_threshold_2018,poverty_incidence_among_families,population_as_of_may_2020,unemployment_rate_per_region
226502,10,CAA ES ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,LAS PINAS CITY,CITY OF LAS PINAS,LAS PINAS CITY I,CAA,1587,14,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136852,12,ACACIA ES,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT V,ACACIA,2681,22,RED,GPS PINNING (2012),1,1,COOL COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136838,13,TANONG ES I,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT II,TAÑONG,1223,13,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136850,14,TINAJEROS ES,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,MALABON CITY,CITY OF MALABON,MALABON DISTRICT IV,TINAJEROS,3347,30,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
136666,15,EULOGIO RODRIGUEZ INTEGRATED SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT II,HAGDANG BATO ITAAS,2555,39,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136668,16,ILAYA BARANGKA INTEGRATED SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,LONE,MANDALUYONG CITY,CITY OF MANDALUYONG,MANDALUYONG CITY DISTRICT II,BARANGKA ILAYA,1391,33,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136442,19,R. ALMARIO ES - ISLA PUTING BATO ES,ANNEX OR EXTENSION SCHOOLS,NCR,"MANILA, NCR, FIRST DISTRICT",1ST,MANILA,TONDO,TONDO XIII,PUROK ,586,7,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
222001,20,R. ALMARIO ES - PAROLA ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,"MANILA, NCR, FIRST DISTRICT",1ST,MANILA,TONDO,TONDO XIII,MICT COMPOUND,600,6,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
136466,22,V. E. FUGOSO MEMORIAL SCHOOL,SCHOOL WITH NO ANNEXES,NCR,"MANILA, NCR, FIRST DISTRICT",4TH,MANILA,SAMPALOC,SAMPALOC V,PARANG,924,27,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.933410716,1846513,11.65728178
136681,23,FORTUNE ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT II,FORTUNE,3712,35,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136673,24,KALUMPANG ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,KALUMPANG,1264,43,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136678,25,SAN ROQUE ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,SAN ROQUE,1550,43,BLUE,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136687,26,STO. NINO ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,1ST,MARIKINA CITY,CITY OF MARIKINA,MARIKINA CITY DISTRICT I,STO NIÑO,3308,48,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136912,27,CUPANG ES,MOTHER SCHOOL,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT II,CUPANG,2944,36,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
228501,28,ITAAS ELEMENTARY SCHOOL NBP ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT I,POBLACION,5245,48,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136907,29,VICTORIA HOMES ES,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,LONE,MUNTINLUPA CITY,CITY OF MUNTINLUPA,MUNTINLUPA CITY DISTRICT I,TUNASAN,1550,24,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
136863,30,NORTH BAY BOULEVARD NORTH ELEMENTARY SCHOOL,SCHOOL WITH NO ANNEXES,NCR,NCR THIRD DISTRICT,LONE,NAVOTAS,CITY OF NAVOTAS,NAVOTAS DISTRICT I,NORTH BAY BLVD NORTH,2100,18,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,2.17767876,3004627,11.65728178
226001,31,SUN VALLEY ES,SCHOOL WITH NO ANNEXES,NCR,NCR FOURTH DISTRICT,2ND,PARANAQUE CITY,CITY OF PARANAQUE,PARANAQUE CITY DISTRICT II,SUN VALLEY,2945,24,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,0.69724328,3861951,11.65728178
225501,32,MAYBUNGA ELEMENTARY SCHOOL ANNEX,ANNEX OR EXTENSION SCHOOLS,NCR,NCR SECOND DISTRICT,LONE,PASIG CITY,CITY OF PASIG,PASIG CITY DISTRICT V,MAYBUNGA,1124,18,RED,GPS PINNING (2012),1,0,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
136522,34,LEOPOLDO B. SANTOS ES,SCHOOL WITH NO ANNEXES,NCR,NCR SECOND DISTRICT,2ND,QUEZON CITY,QUEZON CITY,SCHOOL DISTRICT VIII,BAESA,650,9,RED,GPS PINNING (2012),1,1,HOT COLOR ZONE,28682.27409,1.426552945,4771371,11.65728178
